id,Date,User_id,Tweets,Likes,Retweets,Replies
69,2022-03-30 10:01:47+00:00,23,"lleg el da hoy es el desafiodetripulaciones  en el campus de valencia mucha suerte a toda esa primera promocin valenciana presentando sus sper webapps no te lo pierdas  sigue ya el directo aqu httpstcollxz2wkxax

datascience fullstackwebdevelopment bootcamp",1,2,0
70,2022-03-30 09:35:11+00:00,58,"seguimos con la 2mesa forovocentoeducacin formacin para el futuro y las nuevas profesionales que vienen participan
 juanjosejuarez fbertelsmann
 mortizcotro fundcreate
 iker arce thebridgetech
 gabriel masfurroll uabbarcelona
directo httpstco8xxflqvpcp httpstco3qakfvq9bs",8,2,0
71,2022-03-30 07:47:54+00:00,23,a partir de las 11h nuestro ceo ikerarceseco participa en el forovocentoeducacion en el debate formacin para el futuro y las nuevas profesiones que vienen organizado por vocento vocentoeventos y kreabespana sgueloen directo  httpstcojfh6rbmbd4 httpstcoovbzkl0yvz httpstcorjvjrxulch,4,0,0
72,2022-03-29 16:26:46+00:00,58,"2 formacin para el futuro y las nuevas profesiones que vienen
 juanjosejuarez fbertelsmann
 mortizcotro fundcreate
 iker arce thebridgetech
 gabriel masfurroll uabbarcelona
modera antonio san jos asanjoseperez kreabespana 
forovocentoeducacin httpstcokmy2q5geze",3,1,1
73,2022-03-26 13:30:10+00:00,50,jaime estoy seguro de que en thebridgetech  la aceleradora de talento digital lder en nuestro pas estaran encantados de ayudarte en la organizacin de ese hackhaton al menos yo lo estoy  httpstco60ybqn84qk,6,2,0
74,2022-03-24 18:17:28+00:00,11,la camaradesevilla organiza junto al grupo planeta y su presidente jos lara este encuentro con las empresas clubcmara para recoger las necesidades del sectortecnolgico y presentar nuestra oferta de bootcamps de la mano de thebridgetech httpstcorjkwd5mkt8 httpstcoj6shthxylm,7,4,0
75,2022-03-24 16:18:18+00:00,23,hoy han venido a visitarnos los alumnos de itepes de dam asir y marketing para conocer nuestro campus de madrid y el futuro de profesiones tecnolgicas como las suyas esperamos que hayais pasado una estupenda jornada sois los profesionales techie del maana  httpstcou1gpnu7tgi,1,0,0
76,2022-03-24 10:30:11+00:00,23,crees que lo sabes tododjate sorprender adntrate en el mundo de la programacionweb y las criptomonedas conoce la metolodoga scrum o profundiza en el deeplearning apntate a nuestros talleres gratuitos y ampla horizontes httpstcobyfstqb02r httpstcoo1y4j6pumr,0,0,0
77,2022-03-18 08:19:22+00:00,23,comenzamos el desafiodetripulaciones  de la promo full time de noviembre el tema de los proyectos el coliving con la colaboracin de thefringelabs  no te pierdas las web apps que han creado en directo httpstcopepmdumcmu,5,4,0
78,2022-03-17 18:30:10+00:00,10, congrats to simplilearn thebridgetech thinkful and udacity who made it on our list of the 14 best digital marketing bootcamps of 2022 httpstcotguf4qx2dx httpstcomihftrm9la,0,0,0
